A0P0,A0P1,A0P2,A1P0,A1P1,A1P2,A2P0,A2P1,A2P2,acc,f1_0,f1_1,f1_2,f1_all,model,prec_0,prec_1,prec_2,prec_all,rec_0,rec_1,rec_2,rec_all,rnd_ct,sup_0,sup_1,sup_2,sup_all,trtest
38,30,65,10,266,60,19,44,168,0.67428571428571427,0.37999999999999995,0.78698224852071008,0.6412213740458016,0.66155453272505527,GV,0.56716417910447758,0.78235294117647058,0.57337883959044367,0.67250562285940307,0.2857142857142857,0.79166666666666663,0.72727272727272729,0.67428571428571427,12,133,336,231,700,TR
15,10,35,7,105,31,17,25,55,0.58333333333333337,0.30303030303030304,0.74204946996466437,0.50458715596330272,0.57746615505068521,GV,0.38461538461538464,0.75,0.45454545454545453,0.58139277389277388,0.25,0.73426573426573427,0.5670103092783505,0.58333333333333337,12,60,143,97,300,TE
7,17,109,0,297,39,3,23,205,0.72714285714285709,0.097902097902097904,0.88261515601783047,0.70205479452054786,0.67393475568173811,NN,0.69999999999999996,0.88130563798219586,0.58073654390934848,0.74766976572153909,0.052631578947368418,0.8839285714285714,0.88744588744588748,0.72714285714285709,12,133,336,231,700,TR
2,15,43,1,104,38,0,25,72,0.59333333333333338,0.063492063492063489,0.72473867595818831,0.57599999999999996,0.54439718157181571,NN,0.66666666666666663,0.72222222222222221,0.47058823529411764,0.62974945533769067,0.033333333333333333,0.72727272727272729,0.74226804123711343,0.59333333333333338,12,60,143,97,300,TE
52,71,7,76,239,25,20,161,49,0.48571428571428571,0.37410071942446038,0.58939580764488297,0.31511254019292606,0.4592907890983044,LM,0.35135135135135137,0.50743099787685775,0.60493827160493829,0.51048288203277581,0.40000000000000002,0.70294117647058818,0.21304347826086956,0.48571428571428571,13,130,340,230,700,TR
28,31,4,22,109,8,5,74,19,0.52000000000000002,0.47457627118644063,0.61756373937677045,0.29457364341085274,0.48202627304126811,LM,0.50909090909090904,0.50934579439252337,0.61290322580645162,0.54312102940773432,0.44444444444444442,0.78417266187050361,0.19387755102040816,0.52000000000000002,13,63,139,98,300,TE
51,33,46,13,276,51,29,70,131,0.65428571428571425,0.45739910313901344,0.76773296244784428,0.572052401746725,0.6458044900601223,GV,0.54838709677419351,0.72823218997361483,0.57456140350877194,0.64434055711241678,0.3923076923076923,0.81176470588235294,0.56956521739130439,0.65428571428571425,13,130,340,230,700,TR
10,22,31,7,112,20,16,27,55,0.58999999999999997,0.20833333333333334,0.74666666666666681,0.53921568627450978,0.56584934640522888,GV,0.30303030303030304,0.69565217391304346,0.51886792452830188,0.55545205956198573,0.15873015873015872,0.80575539568345322,0.56122448979591832,0.58999999999999997,13,63,139,98,300,TE
19,17,94,2,292,46,9,35,186,0.70999999999999996,0.23749999999999999,0.85380116959064334,0.6690647482014388,0.67864612821021375,NN,0.6333333333333333,0.84883720930232553,0.57055214723926384,0.7173785405159353,0.14615384615384616,0.85882352941176465,0.80869565217391304,0.70999999999999996,13,130,340,230,700,TR
5,17,41,3,107,29,11,26,61,0.57666666666666666,0.12195121951219512,0.74048442906574397,0.5327510917030569,0.54273289818768755,NN,0.26315789473684209,0.71333333333333337,0.46564885496183206,0.53788622829337973,0.079365079365079361,0.76978417266187049,0.62244897959183676,0.57666666666666666,13,63,139,98,300,TE
57,68,6,70,249,24,16,166,44,0.5,0.41605839416058393,0.602905569007264,0.29333333333333333,0.46799084733980195,LM,0.39860139860139859,0.51552795031055898,0.59459459459459463,0.51917321221669044,0.4351145038167939,0.72594752186588918,0.19469026548672566,0.5,14,131,343,226,700,TR
23,34,5,28,99,9,9,69,24,0.48666666666666669,0.37704918032786883,0.58579881656804722,0.34285714285714286,0.46005705601670288,LM,0.38333333333333336,0.49009900990099009,0.63157894736842102,0.51613728214926757,0.37096774193548387,0.7279411764705882,0.23529411764705882,0.48666666666666669,14,62,136,102,300,TE
41,41,49,13,286,44,22,66,138,0.66428571428571426,0.39613526570048313,0.77717391304347816,0.60393873085339167,0.64993503593363255,GV,0.53947368421052633,0.72773536895674296,0.59740259740259738,0.65042467313818386,0.31297709923664124,0.83381924198250734,0.61061946902654862,0.66428571428571426,14,131,343,226,700,TR
15,22,25,6,113,17,16,46,40,0.56000000000000005,0.30303030303030298,0.71293375394321767,0.43478260869565216,0.53364898470370969,GV,0.40540540540540543,0.62430939226519333,0.48780487804878048,0.53265770014725677,0.24193548387096775,0.83088235294117652,0.39215686274509803,0.56000000000000005,14,62,136,102,300,TE
16,4,111,0,319,24,1,18,207,0.77428571428571424,0.2162162162162162,0.93274853801169588,0.72887323943661975,0.73283203567858879,NN,0.94117647058823528,0.93548387096774188,0.60526315789473684,0.82993508439029251,0.12213740458015267,0.93002915451895041,0.91592920353982299,0.77428571428571424,14,131,343,226,700,TR
0,13,49,1,109,26,6,24,72,0.60333333333333339,0.0,0.77304964539007104,0.57831325301204817,0.54707567860092854,NN,0.0,0.74657534246575341,0.48979591836734693,0.50497810082937278,0.0,0.80147058823529416,0.70588235294117652,0.60333333333333339,14,62,136,102,300,TE
51,72,7,69,240,23,19,167,52,0.48999999999999999,0.379182156133829,0.59186189889025886,0.32499999999999996,0.46163118675566239,LM,0.36690647482014388,0.5010438413361169,0.63414634146341464,0.52138746616928888,0.3923076923076923,0.72289156626506024,0.21848739495798319,0.48999999999999999,15,130,332,238,700,TR
29,30,4,29,108,10,6,68,16,0.51000000000000001,0.45669291338582679,0.61189801699716706,0.26666666666666666,0.47573554013963548,LM,0.453125,0.52427184466019416,0.53333333333333333,0.5120494538834951,0.46031746031746029,0.73469387755102045,0.17777777777777778,0.51000000000000001,15,63,147,90,300,TE
31,35,64,9,267,56,20,51,167,0.66428571428571426,0.32631578947368423,0.77956204379562033,0.63619047619047608,0.64664140643579737,GV,0.51666666666666672,0.75637393767705385,0.58188153310104529,0.65252945550499619,0.23846153846153847,0.80421686746987953,0.70168067226890751,0.66428571428571426,15,130,332,238,700,TR
12,15,36,6,111,30,12,29,49,0.57333333333333336,0.25806451612903225,0.73509933774834446,0.47804878048780486,0.55780685803012708,GV,0.40000000000000002,0.71612903225806457,0.42608695652173911,0.56272931276297344,0.19047619047619047,0.75510204081632648,0.5444444444444444,0.57333333333333325,15,63,147,90,300,TE
2,20,108,0,312,20,1,59,178,0.70285714285714285,0.03007518796992481,0.86307053941908707,0.65441176470588236,0.6374274193188959,NN,0.66666666666666663,0.79795396419437337,0.5816993464052288,0.70004546746234719,0.015384615384615385,0.93975903614457834,0.74789915966386555,0.70285714285714285,15,130,332,238,700,TR
1,14,48,0,122,25,0,35,55,0.59333333333333338,0.03125,0.76729559748427667,0.50458715596330272,0.53391348955628637,NN,1.0,0.71345029239766078,0.4296875,0.68849689327485375,0.015873015873015872,0.82993197278911568,0.61111111111111116,0.59333333333333338,15,63,147,90,300,TE
63,75,10,75,239,24,15,151,48,0.5,0.41860465116279066,0.5952677459526774,0.32432432432432434,0.47508484558500486,LM,0.41176470588235292,0.51397849462365597,0.58536585365853655,0.51419171476615821,0.42567567567567566,0.70710059171597628,0.22429906542056074,0.5,16,148,338,214,700,TR
